siteid,street type,area,grass height,fast food or convenience store,bus stop within site or sight?,litter bin
1,major,commercial,mid,1,0,0
2,minor,residential,short,0,0,0
3,minor,residential,short,0,1,0
4,minor,residential,short,0,0,0
5,minor,mixed,short,0,0,0
6,minor,"mixed, park",short,0,0,0
7,minor,"mixed, park",short,0,0,1
8,minor,residential,na,0,0,0
9,minor,residential,short,0,0,0
10,minor,residential,na,0,1,0
11,minor,residential,short,0,0,0
12,minor,residential,short,0,0,0
13,minor,"mixed, park",short,0,0,0
14,minor,residential,short,0,0,0
15,major,commercial,na,1,1,1
16,minor,residential,short,0,1,1
17,major,residential,tall,0,1,1
18,minor,commercial,na,1,0,0
19,major,commercial,na,1,1,1
20,minor,residential,short,0,0,0
21,minor,"mixed, park",short,0,0,0
22,major,"mixed, park",na,0,1,0
23,minor,mixed,short,0,0,0
24,minor,residential,mid,0,0,0
25,minor,residential,short,0,0,0
26,minor,residential,mid,0,0,0
27,major,residential,short,0,1,0
28,minor,residential,short,0,0,0
30,minor,residential,short,0,1,0
31,major,mixed,na,1,1,1
32,minor,residential,short,0,0,0
33,major,residential,mid,1,0,0
34,major,"mixed, park",short,0,1,0
35,minor,residential,short,0,0,0
36,minor,"mixed, park",short,0,0,1
37,minor,residential,short,0,1,0
38,major,commercial,na,1,1,1
39,minor,commercial,short,0,0,0
40,minor,residential,na,1,0,0
41,major,mixed,tall,1,1,0
42,minor,commercial,short,0,0,0
43,minor,residential,short,0,0,0
44,minor,"mixed, park",short,0,0,0
45,minor,"mixed, park",short,0,1,0
46,minor,residential,short,0,0,0
47,minor,mixed,short,0,0,0
48,minor,residential,short,0,0,0
49,minor,residential,short,0,0,0
50,minor,residential,short,0,0,0
51,minor,residential,short,0,0,0
52,minor,commercial,short,0,0,0
53,minor,residential,short,0,0,0
54,major,commercial,na,0,1,1
55,major,mixed,short,1,1,1
56,minor,residential,short,0,0,0
57,minor,residential,short,0,0,0
58,minor,residential,mid,0,0,0
59,minor,residential,short,0,0,0
60,minor,residential,short,1,0,0
61,minor,residential,short,0,0,0
62,major,mixed,short,1,0,0
63,minor,residential,mid,0,0,0
64,minor,institutional,mid,0,1,0
65,minor,residential,short,0,0,0
66,minor,residential,short,0,0,0
67,minor,residential,short,1,0,0
68,minor,mixed,short,0,0,0
69,minor,mixed,short,0,1,1
70,major,mixed,short,1,1,0
71,minor,residential,mid,0,0,0
72,major,mixed,short,0,1,1
73,minor,residential,mid,0,0,0
74,minor,residential,mid,0,0,0
75,major,mixed,na,0,1,1
76,minor,mixed,short,1,0,0
77,major,mixed,na,1,1,0
78,minor,mixed,short,0,0,0
79,minor,residential,short,0,0,0
80,minor,residential,mid,0,0,0
81,minor,residential,short,0,0,0
82,minor,mixed,short,0,0,0
83,minor,residential,short,0,0,0
84,minor,residential,short,0,0,0
85,minor,residential,mid,1,0,0
86,minor,residential,short,0,0,0
87,minor,residential,short,0,0,0
88,minor,residential,short,0,0,0
89,major,mixed,na,1,1,1
90,minor,residential,short,0,0,0
91,major,residential,short,0,0,0
92,minor,residential,mid,1,0,0
93,minor,residential,short,0,0,0
94,minor,residential,short,0,0,0
95,minor,residential,mid,0,0,0
96,minor,residential,mid,1,1,0
97,minor,mixed,mid,0,1,1
98,minor,residential,short,0,1,1
100,minor,residential,mid,0,0,0
101,major,commercial,na,1,1,1
102,major,mixed,na,0,1,1
103,minor,residential,short,0,1,1
104,major,commercial,na,1,1,1
105,major,commercial,na,1,1,1
106,major,commercial,na,1,1,1
107,major,mixed,tall,0,1,0
108,major,commercial,na,1,1,1
109,major,commercial,na,1,1,1
110,major,commercial,na,1,1,0
